row,date,attributes,values,brand
126,2020-12-07,bw_positive,4168,Nike
127,2020-12-06,bw_positive,3412,Nike
128,2020-12-05,bw_positive,2880,Nike
129,2020-12-04,bw_positive,3698,Nike
130,2020-12-03,bw_positive,3452,Nike
131,2020-12-02,bw_positive,3085,Nike
132,2020-12-01,bw_positive,3391,Nike
133,2020-11-30,bw_positive,4392,Nike
134,2020-11-29,bw_positive,2329,Nike
135,2020-11-28,bw_positive,3064,Nike
136,2020-11-27,bw_positive,3330,Nike
137,2020-11-26,bw_positive,3309,Nike
138,2020-11-25,bw_positive,3432,Nike
139,2020-11-24,bw_positive,4045,Nike
140,2020-11-23,bw_positive,3881,Nike
141,2020-11-22,bw_positive,2635,Nike
142,2020-11-21,bw_positive,2901,Nike
143,2020-11-20,bw_positive,4168,Nike
144,2020-11-19,bw_positive,4127,Nike
145,2020-11-18,bw_positive,4494,Nike
146,2020-11-17,bw_positive,3759,Nike
147,2020-11-16,bw_positive,2942,Nike
148,2020-11-15,bw_positive,2717,Nike
149,2020-11-14,bw_positive,3289,Nike
150,2020-11-13,bw_positive,3718,Nike
151,2020-11-12,bw_positive,4065,Nike
152,2020-11-11,bw_positive,3943,Nike
153,2020-11-10,bw_positive,2942,Nike
154,2020-11-09,bw_positive,2758,Nike
155,2020-11-08,bw_positive,3126,Nike
156,2020-11-07,bw_positive,3003,Nike
157,2020-11-06,bw_positive,4413,Nike
158,2020-11-05,bw_positive,5700,Nike
159,2020-11-04,bw_positive,3187,Nike
160,2020-11-03,bw_positive,4045,Nike
161,2020-11-02,bw_positive,3677,Nike
162,2020-11-01,bw_positive,3759,Nike
163,2020-10-31,bw_positive,3085,Nike
164,2020-10-30,bw_positive,5455,Nike
165,2020-10-29,bw_positive,3616,Nike
166,2020-10-28,bw_positive,3432,Nike
167,2020-10-27,bw_positive,3759,Nike
168,2020-10-26,bw_positive,4065,Nike
169,2020-10-25,bw_positive,2329,Nike
170,2020-10-24,bw_positive,3657,Nike
171,2020-10-23,bw_positive,4617,Nike
172,2020-10-22,bw_positive,3555,Nike
173,2020-10-21,bw_positive,4004,Nike
174,2020-10-20,bw_positive,6721,Nike
175,2020-10-19,bw_positive,5148,Nike
176,2020-10-18,bw_positive,2451,Nike
177,2020-10-17,bw_positive,2267,Nike
178,2020-10-16,bw_positive,4065,Nike
179,2020-10-15,bw_positive,4474,Nike
180,2020-10-14,bw_positive,3616,Nike
181,2020-10-13,bw_positive,4188,Nike
182,2021-04-12,bw_neutral,30340,Nike
183,2021-04-11,bw_neutral,19430,Nike
184,2021-04-10,bw_neutral,21432,Nike
185,2021-04-09,bw_neutral,20881,Nike
186,2021-04-08,bw_neutral,28277,Nike
187,2021-04-07,bw_neutral,30994,Nike
188,2021-04-06,bw_neutral,28420,Nike
189,2021-04-05,bw_neutral,28011,Nike
190,2021-04-04,bw_neutral,29584,Nike
191,2021-04-03,bw_neutral,40209,Nike
192,2021-04-02,bw_neutral,41455,Nike
193,2021-04-01,bw_neutral,25294,Nike
194,2021-03-31,bw_neutral,27173,Nike
195,2021-03-30,bw_neutral,39167,Nike
196,2021-03-29,bw_neutral,59619,Nike
197,2021-03-28,bw_neutral,41271,Nike
198,2021-03-27,bw_neutral,33568,Nike
199,2021-03-26,bw_neutral,46829,Nike
200,2021-03-25,bw_neutral,46890,Nike
201,2021-03-24,bw_neutral,26560,Nike
202,2021-03-23,bw_neutral,24538,Nike
203,2021-03-22,bw_neutral,23720,Nike
204,2021-03-21,bw_neutral,17468,Nike
205,2021-03-20,bw_neutral,15752,Nike
206,2021-03-19,bw_neutral,27807,Nike
207,2021-03-18,bw_neutral,23312,Nike
208,2021-03-17,bw_neutral,27521,Nike
209,2021-03-16,bw_neutral,24701,Nike
210,2021-03-15,bw_neutral,40331,Nike
211,2021-03-14,bw_neutral,55900,Nike
212,2021-03-13,bw_neutral,20002,Nike
213,2021-03-12,bw_neutral,24987,Nike
214,2021-03-11,bw_neutral,23087,Nike
215,2021-03-10,bw_neutral,28052,Nike
216,2021-03-09,bw_neutral,26867,Nike
217,2021-03-08,bw_neutral,20349,Nike
218,2021-03-07,bw_neutral,22719,Nike
219,2021-03-06,bw_neutral,23557,Nike
220,2021-03-05,bw_neutral,26867,Nike
221,2021-03-04,bw_neutral,32016,Nike
222,2021-03-03,bw_neutral,24252,Nike
223,2021-03-02,bw_neutral,57392,Nike
224,2021-03-01,bw_neutral,28604,Nike
225,2021-02-28,bw_neutral,21330,Nike
226,2021-02-27,bw_neutral,13893,Nike
227,2021-02-26,bw_neutral,14302,Nike
228,2021-02-25,bw_neutral,18163,Nike
229,2021-02-24,bw_neutral,20778,Nike
230,2021-02-23,bw_neutral,20840,Nike
231,2021-02-22,bw_neutral,18510,Nike
232,2021-02-21,bw_neutral,15119,Nike
233,2021-02-20,bw_neutral,16120,Nike
234,2021-02-19,bw_neutral,17898,Nike
235,2021-02-18,bw_neutral,21963,Nike
236,2021-02-17,bw_neutral,19879,Nike
237,2021-02-16,bw_neutral,17060,Nike
238,2021-02-15,bw_neutral,17366,Nike
239,2021-02-14,bw_neutral,14690,Nike
240,2021-02-13,bw_neutral,18919,Nike
241,2021-02-12,bw_neutral,19287,Nike
242,2021-02-11,bw_neutral,16324,Nike
243,2021-02-10,bw_neutral,18143,Nike
244,2021-02-09,bw_neutral,16283,Nike
245,2021-02-08,bw_neutral,17325,Nike
246,2021-02-07,bw_neutral,15323,Nike
247,2021-02-06,bw_neutral,28890,Nike
248,2021-02-05,bw_neutral,35816,Nike
249,2021-02-04,bw_neutral,23128,Nike
250,2021-02-03,bw_neutral,26377,Nike
251,2021-02-02,bw_neutral,38370,Nike
252,2021-02-01,bw_neutral,44581,Nike
253,2021-01-31,bw_neutral,15139,Nike
254,2021-01-30,bw_neutral,17530,Nike
255,2021-01-29,bw_neutral,18817,Nike
256,2021-01-28,bw_neutral,17285,Nike
257,2021-01-27,bw_neutral,20431,Nike
258,2021-01-26,bw_neutral,15405,Nike
259,2021-01-25,bw_neutral,16569,Nike
260,2021-01-24,bw_neutral,10808,Nike
261,2021-01-23,bw_neutral,17264,Nike
262,2021-01-22,bw_neutral,21412,Nike
263,2021-01-21,bw_neutral,16672,Nike
264,2021-01-20,bw_neutral,19144,Nike
265,2021-01-19,bw_neutral,24742,Nike
266,2021-01-18,bw_neutral,19430,Nike
267,2021-01-17,bw_neutral,12034,Nike
268,2021-01-16,bw_neutral,16549,Nike
269,2021-01-15,bw_neutral,18858,Nike
270,2021-01-14,bw_neutral,20390,Nike
271,2021-01-13,bw_neutral,23884,Nike
272,2021-01-12,bw_neutral,17060,Nike
273,2021-01-11,bw_neutral,17632,Nike
274,2021-01-10,bw_neutral,14322,Nike
275,2021-01-09,bw_neutral,13689,Nike
276,2021-01-08,bw_neutral,17979,Nike
277,2021-01-07,bw_neutral,20860,Nike
278,2021-01-06,bw_neutral,21003,Nike
279,2021-01-05,bw_neutral,21350,Nike
280,2021-01-04,bw_neutral,24885,Nike
281,2021-01-03,bw_neutral,18756,Nike
282,2021-01-02,bw_neutral,16467,Nike
283,2021-01-01,bw_neutral,11748,Nike
284,2020-12-31,bw_neutral,11605,Nike
285,2020-12-30,bw_neutral,16733,Nike
286,2020-12-29,bw_neutral,18572,Nike
287,2020-12-28,bw_neutral,13076,Nike
288,2020-12-27,bw_neutral,12095,Nike
289,2020-12-26,bw_neutral,14159,Nike
290,2020-12-25,bw_neutral,9459,Nike
